# MARKA-BETOLTO BEMENET v1 -- 2026-09-07, barracuda
#
# MI EZ: a markatorzs-v1.tsv SZARMAZTATOTT valtozata, GEPI BETOLTESRE. A torzs fajlt NEM
# erinti. Ugyanaz a minta, mint a marka-felismero-lista-v1.tsv-nel: a torzsre mas meresek
# hivatkoznak, ezert kulon fajl, kulon neven.
#
# MIERT KELLETT: murena azt merte, hogy a torzs KET sora ele egy gepi betolto belefutna, es
# mindketto azert lathatatlan, mert a kizarasa a MEGJEGYZES oszlopban all, szabad szovegben.
# Az erve all, es a fajl szerkezete ezt javitja: EGY OSZLOPRA lehet allitast irni, egy
# megjegyzesre nem.
#
# === FIX OSZLOPSZAM: MINDEN SOR PONTOSAN OT OSZLOP ===
#
#   kanonikus   a marka neve, ahogy a VEVO ele kerul
#   aliasok     minden mert irasmod, vesszovel; URES, ha a sorbol NEM szabad aliast csinalni
#   forras      a kanonikus alak bizonyitottsaga: GYARTO, BRAND, NEV, MERETLEN
#   jelolo      URES, ha a sor onallo marka; kulonben lasd lentebb
#   megjegyzes  a jeloles indoka; ures, ha nincs jeloles
#
# A torzsben 80 sor ot oszlopos volt es 45 hatos, mert a megjegyzes opcionalis. Itt MIND A
# 126 sor ot oszlopos, ures mezovel, ahol nincs ertek. Merve: 126 sor, 126 illeszkedes az
# ot oszlopos mintara.
#
# === A NEGY JELOLO ===
#
#   nem_onallo          a sor valoszinuleg egy MASIK marka termekvonala vagy alegysege.
#                       A betolto NE hozzon letre belole markat.
#   ketertelmu_alias    az ERTEK ket markat takar. A visszatoltes UTASITSA VISSZA az ilyen
#                       erteku termeket. Talalgatni tilos.
#   ellenorizendo       a TORZS sajat jelzese, TOLEM uj meres NELKUL. Nem allitas, kerdes.
#   kanonikus_meretlen  a sor onallo marka, DE a kanonikus irasmod nincs gyartoi forrasbol
#                       igazolva. A betolto hasznalhatja, csak ne latszodjon eldontettnek.
#
# A negyediket en tettem hozza a harom kerthez, es megmondom, miert: az OASE kerdesere
# megprobaltam valaszolni, es NEM SIKERULT. Ha ezt csak a megjegyzesbe irom, ugyanaz a hiba
# lenne, amit murena talalt -- egy allitas, amit nem lehet merni.
#
# === HAROM DONTES, AMIT ACROBOT HOZOTT MEG, ES AMI EBBEN A FAJLBAN ALL ===
#
# 1. A kanonikus alak a GYARTOI, ahol le van merve. ITT NEM KELLETT VALTOZTATNI: a torzs
#    kanonikus alakja MAR "Aqua Medic" es "Red Sea", es az "AquaMedic" es a "RedSea" mar
#    aliaskent all mellettuk. A ket sor forrasa GYARTO.
# 2. A forras oszlop atment. A 126 sorbol GYARTO 9, a tobbi BRAND vagy NEV -- ha ez nem
#    allna itt, mind a 126 egyformán biztosnak latszana az adatbazisban.
# 3. A Jebao/Jecod ot termeke NEM kap markat: ketertelmu_alias, a visszatoltes visszautasitja.
#
# === A KET SZERKEZETI HIBA, AMIT MURENA TALALT, ES AHOGY ITT MEG VAN OLDVA ===
#
#   Jebao/Jecod   A torzsben MINDKET kanonikus sor (Jebao es Jecod) valtozatai kozott ott
#                 allt, tehat egy betolto ugyanazt az aliast KETSZER hozna letre.
#                 ITT: kivettem mindket sorbol, es kapott SAJAT sort ketertelmu_alias
#                 jelolessel. MERVE: a "Jebao/Jecod" karaktersor a fajlban PONTOSAN EGYSZER
#                 fordul elo.
#
#   Red Sea kategoria   Strukturaltan ugy nez ki, mint barmelyik marka, es az aliasa
#                 ("Red Sea") utkozne a Red Sea sor kanonikus nevevel.
#                 ITT: az alias oszlopa URES, a jeloles nem_onallo. Nem keletkezik belole se
#                 marka, se alias.
#
# === HAROM KONTROLL, AMI LEFUTOTT A KESZ FAJLON ===
#
#   1. Oszlopszam: 126 sorbol 126 illeszkedik az ot oszlopos mintara.
#   2. ALIAS-UTKOZES: a 180 kulonbozo alias kozott NULLA ismetlodo. Ez az a hiba, amitol
#      murena szerint a tarolo azonossag-orzoje MENET KOZBEN hasalna el.
#   3. KERESZT-UTKOZES (alias, ami egy MASIK sor kanonikus neve): nulla. A "Ecotech Marine"
#      es a "Two Little Fishies" az egyetlen ket sor, ami a sajat kanonikus alakjat NEM
#      sorolja fel aliaskent, es egyik sem szerepel alias-kent sehol.
#
# === EGY HATAR, AMIT KI KELL MONDANI ===
#
# Az "Ecotech Marine" es a "Two Little Fishies" sor aliasai kozott NINCS ott a sajat
# kanonikus alakjuk. Ha egy tarolt mezoertek pontosan "Ecotech Marine" lenne, a betolto nem
# oldana fel. MA EZ NEM ALL FENN: lemertem, egyik alak sem szerepel a 49 tarolt brand ertek
# kozott. De egy jovobeli ertek eltalalhatja, es akkor ez a ket sor a rés.
#
kanonikus	aliasok	forras	jelolo	megjegyzes
Fauna Marin	Fauna Marin, Fauna Marin-, Fauna Marine	BRAND		
Maxspect	Maxspect	BRAND		
Aquaforest	Aquaforest, AquaForest, (Aquaforest	BRAND		
Modern Reef	Modern Reef	BRAND		
Triton	Triton	BRAND		
Grotech	Grotech, Groteh	BRAND		
Microbe-Lift	Microbe-Lift, MICROBE-LIFT	BRAND		
Reef Factory	Reef Factory	BRAND		
D-D	D-D	BRAND		
Aqua Medic	Aqua Medic, AquaMedic, Aqua Mdic	GYARTO		
Ocean Nutrition	Ocean Nutrition, OCEAN NUTRITION	BRAND		
ATI	ATI	BRAND		
Dupla Marin	Dupla Marin, DUPLA MARIN	BRAND		
Ecotech Marine	Ecotech, EcoTech, Radion, Vortech, Vectra	BRAND		
Aqua Illumination	Aqua Illumination, AI -	BRAND		
Coral Essentials	Coral Essentials, Coral Essential	BRAND		
ARKA	ARKA, Arka	GYARTO		
Jebao	Jebao	BRAND		
Red Sea	RedSea, REDSEA, Red Sea	GYARTO		
Korallen-Zucht	Korallen-zucht, Korallen-Zucht, Korallen-zuht	GYARTO		
Flipper	Flipper	BRAND		
Dr. Bassleer	Bassleer, Dr. Bassleer, Dr Bassleer	GYARTO		
Tropic Marin	Tropic Marin	BRAND		
Aquili	Aquili	BRAND		
ATB	ATB	BRAND		
Tunze	Tunze	BRAND		
Hanna	Hanna, HANNA	BRAND		
Blue Life	Blue Life, Blue life	BRAND		
Sicce	Sicce	NEV		
biOrb	biOrb	NEV	nem_onallo	MERT 2026-09-07: 13 termek, mindegyik tarolt brand mezoje OASE; sajat bolti kategoriaja is van, tehat a dontes nem trivialis
VCA	VCA	BRAND		
Jecod	Jecod	BRAND		
Hobby	Hobby	NEV		
Nyos	Nyos, NYOS	BRAND		
Eheim	Eheim, EHEIM	BRAND		
Tropic Creations	Tropic Creations, Tropic Creation	NEV		
First Bite	First Bite, First bite	BRAND		
Oase	Oase, OASE	BRAND	kanonikus_meretlen	A KANONIKUS ALAK NINCS GYARTOI FORRASBOL IGAZOLVA. 2026-09-07-en megprobaltam lemerni az oase.com es az oase-livingwater.com oldalon: MINDKETTO 429-et adott (rate limit), tehat nem meres, hanem elutasitas. A ket irasmod a boltban: OASE 13 termek, Oase 6. A darabszam NEM bizonyitek.
Mag-Float	Mag-Float, Mag-float, Magfloat	GYARTO		
AutoAqua	AutoAqua, Autoaqua	BRAND		
Aqua Light	Aqua Light, Aqualight, AquaLight	GYARTO		
Salifert	Salifert	BRAND		
Kessil	Kessil	NEV		
Söll	Söll	NEV		
Silbermann	Silbermann	NEV		
Ruto	Ruto	NEV		
Resun	Resun	NEV		
PolypLab	Polyp Lab, Polyplab, PolypLab	GYARTO		
Aquavital	Aquavital, Aquavital_Stress	NEV		
PlanktonPlus	PlanktonPlus	NEV		
Newa	Newa	NEV		
Neptune	Neptune	NEV		
ClariSea	ClariSea, Clarisea	NEV	nem_onallo	MERT 2026-09-07: 7 termek a 683-bol, mindegyik tarolt brand mezoje D-D
AquaForte	AquaForte	NEV		
Aqua Biotica	Aqua Biotica	NEV		
Acropora	Acropora -	NEV		
Vitalis	Vitalis	BRAND		
Schego	Schego, SCHEGO	NEV		
Mysis RS	Mysis RS	NEV		
Hydor	Hydor	NEV		
HW	HW	NEV		
Giesemann	Giesemann	NEV		
Two Little Fishies	Two Little, Two little	NEV		
Ultra Reef	Ultra Reef	NEV		
Masstick	Masstick	NEV	ellenorizendo	TORZS: a Vitalis termekvonala lehet, tolem UJ MERES NINCS
Maggie	Maggie	NEV		
Calanus	Calanus	BRAND		
AquaBee	AquaBee, Aquabee	NEV		
Aqua Connect	Aqua connect, Aqua Connect, AQUA CONNECT	GYARTO		
Xepta	Xepta, XEPTA	BRAND		
Vertex	Vertex	NEV		
Sera	Sera, SERA	NEV		
Prodibio	Prodibio, ProdiBio	NEV		
Orca	Orca	NEV		
Omega	Omega	NEV		
Ocean Art	Ocean Art	NEV		
Easy-Life	Easy-Life	BRAND		
Rowa	Rowa, RowaPhos, Rowa Phos, Rowa phos	NEV		
Red Sea kategoria		BRAND	nem_onallo	a Red Sea sorhoz tartozik; ALIAS NEM keletkezik belole, mert utkozne a Red Sea kanonikus nevvel
VeggieMag	VeggieMag, MegaVeggieMag	NEV		
easyPUMPE	easyPUMPE	NEV	nem_onallo	MERT 2026-09-07: 2 termek, mindketto tarolt brand mezoje Aqua Light, ami GYARTO-forrasu sor
Octo	Octo	NEV	ellenorizendo	TORZS: Reef Octopus lehet, tolem UJ MERES NINCS
New Life Spectrum	New Life Spectrum	BRAND		
Marco	Marco, MarcoRock	NEV		
ITC	ITC	NEV		
GNC	GNC	NEV		
Eden	Eden	NEV		
