# MARKA-BETOLTO BEMENET v2 -- 2026-09-07, barracuda
#
# A v1-ET VALTJA. Az indok murena kifogasa, es igaza volt: a v1 a KET kizart esetet
# egyformán kezelte, pedig KET KULONBOZO dolgot kivannak. A v1-bol dolgozva az egyik
# eset elromlott volna.
#
# === MI VALTOZOTT A v1-HEZ KEPEST ===
#
#   "Red Sea kategoria"   A SOR nem marka. KIHAGYVA a fajlbol, nem jelolessel bent hagyva.
#                         (A v1-ben bent volt, ures aliasszal es nem_onallo jelolessel.
#                          Az feleslegesen bonyolult: egy nem-marka sornak nincs dolga itt.)
#
#   "Jebao/Jecod"         A KET MARKA (Jebao, Jecod) VALODI, es MIND A KETTO BENT VAN
#                         onallo sorkent. Ami ketertelmu, az nem a sor, hanem az ERTEK.
#                         (A v1 ebbol sajat SORT csinalt, es az azt sugallta, hogy a
#                          "Jebao/Jecod" maga is marka-jelolt. Nem az.)
#
#   ALIAS-SORONKENT       A v1-ben az aliasok VESSZOS LISTABAN alltak egy cellaban. Egy
#                         listaban allo ertekhez NEM lehet ertek-szintu jelolest kotni --
#                         es acrobot pontosan azt kerte, hogy a ketertelmuseg egy NYERS
#                         ERTEKROL szoljon. Ezert itt EGY SOR EGY ALIAS.
#
# === OSZLOPOK: MINDEN SOR PONTOSAN HAT ===
#
#   kanonikus    a marka neve, ahogy a VEVO ele kerul. URES, ha a sor nem markat ir le,
#                hanem egy ERTEKROL mond allitast.
#   alias        EGY nyers ertek, ami erre a markara mutat
#   ketertelmu   "igen", ha maga az ERTEK ket markat takar. Ilyenkor a kanonikus URES,
#                es a visszatoltes UTASITSA VISSZA az ezzel az ertekkel allo termeket.
#   forras       a kanonikus alak bizonyitottsaga: GYARTO, BRAND, NEV
#   jelolo       ures, vagy nem_onallo / ellenorizendo / kanonikus_meretlen / ketertelmu_ertek
#   megjegyzes   a jeloles indoka
#
# === MERT SZAMOK A KESZ FAJLON ===
#
#   181 sor, MIND HAT OSZLOPOS
#   124 kulonbozo kanonikus marka
#   180 alias-sor plusz 1 ertek-szintu sor (a Jebao/Jecod)
#   ALIAS-UTKOZES: NULLA -- egyetlen alias sem fordul elo ketszer
#
#   A 180-as szam ket fuggetlen uton jott ki: a v1 vesszos listaibol robbantva
#   (124 + 41 + 12 + 2 + 1 = 180), es a v1-en kulon megmert "180 kulonbozo alias".
#
# === ES A MERCEDROL, AMI MA NEM TUDNA ELBUKNI ===
#
# Elfogadom a megallapitasodat, es a fajl ehhez igazodik: a visszautasitasnak MOSTANTOL
# KET forrasa van, es a ketto KULON merheto.
#
#   1. a szotar ket halmaza (ketertelmu roviditesek, altalanos szavak)  -- a kodban
#   2. EZ AZ OSZLOP (ketertelmu = igen)                                 -- ebben a fajlban
#
# Ma egyedul az elso letezett, es a "jebao jecod" egyikben sincs benne -- ezert lett belole
# marka-rekord a teszt gepen. Vagyis a nulla visszautasitas nem azt jelentette volna, hogy
# talalgattunk, hanem hogy NEM VOLT MIBOL megtagadni. A ket eset kivulrol egyforma volt.
#
# HOGY A MERCE MERHETO LEGYEN: a betoltes irja ki, MELYIK forras utasitott vissza. Ha csak
# egy osszesitett szamot ir ki, ugyanaz a vaksag all vissza, egy szinttel feljebb.
#
# === AMI A v1-BOL VALTOZATLANUL ALL ===
#
#   - a kanonikus alak a GYARTOI, ahol le van merve (Aqua Medic, Red Sea -- mar igy allt)
#   - a forras oszlop atment: GYARTO 9, a tobbi BRAND vagy NEV
#   - az OASE kanonikus alakja MERETLEN marad: ket domainen probaltam, mindketto 429-et
#     adott. A darabszam (OASE 13, Oase 6) NEM bizonyitek.
#
# === EGY HATAR, VALTOZATLANUL ===
#
# Az "Ecotech Marine" es a "Two Little Fishies" aliasai kozott nincs ott a sajat kanonikus
# alakjuk. Ma ez nem okoz gondot (egyik sem szerepel a 49 tarolt brand ertek kozott), de egy
# jovobeli ertek eltalalhatja.
#
kanonikus	alias	ketertelmu	forras	jelolo	megjegyzes
AQAMAI	AQAMAI		NEV		
ARKA	ARKA		GYARTO		
ARKA	Arka		GYARTO		
ATB	ATB		BRAND		
ATI	ATI		BRAND		
Acropora	Acropora -		NEV		
Alkatronic	Alkatronic		NEV	ellenorizendo	TORZS: Focustronic termekvonala lehet, tolem UJ MERES NINCS
Amtra	Amtra		NEV		
Aqua Biotica	Aqua Biotica		NEV		
Aqua Connect	AQUA CONNECT		GYARTO		
Aqua Connect	Aqua Connect		GYARTO		
Aqua Connect	Aqua connect		GYARTO		
Aqua Illumination	AI -		BRAND		
Aqua Illumination	Aqua Illumination		BRAND		
Aqua Light	Aqua Light		GYARTO		
Aqua Light	AquaLight		GYARTO		
Aqua Light	Aqualight		GYARTO		
Aqua Medic	Aqua Mdic		GYARTO		
Aqua Medic	Aqua Medic		GYARTO		
Aqua Medic	AquaMedic		GYARTO		
AquaBee	AquaBee		NEV		
AquaBee	Aquabee		NEV		
AquaForte	AquaForte		NEV		
Aquadeco	Aquadeco		NEV		
Aquael	Aquael		NEV		
Aquaforest	(Aquaforest		BRAND		
Aquaforest	AquaForest		BRAND		
Aquaforest	Aquaforest		BRAND		
Aquarioom	Aquarioom		BRAND		
Aquarium Systems	Aquarium Systems		NEV		
Aquatic Nature	Aquatic Nature		BRAND		
Aquavital	Aquavital		NEV		
Aquavital	Aquavital_Stress		NEV		
Aquili	Aquili		BRAND		
AutoAqua	AutoAqua		BRAND		
AutoAqua	Autoaqua		BRAND		
Blue Life	Blue Life		BRAND		
Blue Life	Blue life		BRAND		
Boyu	Boyu		NEV		
Bubble Magus	Bubble Magus		BRAND		
Calanus	Calanus		BRAND		
ClariSea	ClariSea		NEV	nem_onallo	MERT 2026-09-07: 7 termek a 683-bol, mindegyik tarolt brand mezoje D-D
ClariSea	Clarisea		NEV	nem_onallo	MERT 2026-09-07: 7 termek a 683-bol, mindegyik tarolt brand mezoje D-D
Colombo	Colombo		NEV		
Coral Essentials	Coral Essential		BRAND		
Coral Essentials	Coral Essentials		BRAND		
Coral Protec	Coral Protec		NEV		
Coral RX	Coral RX		BRAND		
CoralBox	CoralBox		NEV		
D-D	D-D		BRAND		
Detaylor	Detaylor		NEV		
Dr. Bassleer	Bassleer		GYARTO		
Dr. Bassleer	Dr Bassleer		GYARTO		
Dr. Bassleer	Dr. Bassleer		GYARTO		
Dupla Marin	DUPLA MARIN		BRAND		
Dupla Marin	Dupla Marin		BRAND		
Dutch Reef	Dutch Reef		BRAND		
Easy-Life	Easy-Life		BRAND		
Easyphyt	Easyphyt		NEV		
Ecotech Marine	EcoTech		BRAND		
Ecotech Marine	Ecotech		BRAND		
Ecotech Marine	Radion		BRAND		
Ecotech Marine	Vectra		BRAND		
Ecotech Marine	Vortech		BRAND		
Eden	Eden		NEV		
Eheim	EHEIM		BRAND		
Eheim	Eheim		BRAND		
Fauna Marin	Fauna Marin		BRAND		
Fauna Marin	Fauna Marin-		BRAND		
Fauna Marin	Fauna Marine		BRAND		
First Bite	First Bite		BRAND		
First Bite	First bite		BRAND		
Fishguard	Fishguard		NEV	nem_onallo	MERT 2026-09-07: az egyetlen ilyen termek neve Oase FishGuard automata eteto
Flipper	Flipper		BRAND		
Fluval	FLUVAL		NEV		
Fluval	Fluval		NEV		
Frag-Stone	Frag-Stone		NEV		
GNC	GNC		NEV		
Giesemann	Giesemann		NEV		
Gourmet	Gourmet		NEV	ellenorizendo	TORZS: KOZZNEV is lehet, nem marka -- mas kerdes, mint a termekvonal
Grotech	Grotech		BRAND		
Grotech	Groteh		BRAND		
HIKARI	HIKARI		NEV		
HW	HW		NEV		
Hanna	HANNA		BRAND		
Hanna	Hanna		BRAND		
Hobby	Hobby		NEV		
Hydor	Hydor		NEV		
ITC	ITC		NEV		
Jebao	Jebao		BRAND		
Jecod	Jecod		BRAND		
JoesJuice	JoesJuice		NEV		
